,year,number,name
,2009,6,deep
,2010,3,deep
,2011,3,deep
,2012,5,deep
,2013,24,deep
,2014,52,deep
,2015,164,deep
,2016,278,deep
,2017,361,deep
,2018,462,deep
,2009,94,learning
,2010,134,learning
,2011,188,learning
,2012,240,learning
,2013,206,learning
,2014,235,learning
,2015,386,learning
,2016,494,learning
,2017,598,learning
,2018,808,learning
,2009,41,machine
,2010,54,machine
,2011,55,machine
,2012,51,machine
,2013,55,machine
,2014,61,machine
,2015,83,machine
,2016,103,machine
,2017,138,machine
,2018,171,machine
,2009,27,neural
,2010,49,neural
,2011,28,neural
,2012,31,neural
,2013,43,neural
,2014,66,neural
,2015,148,neural
,2016,296,neural
,2017,420,neural
,2018,420,neural
,2009,526,networks
,2010,781,networks
,2011,669,networks
,2012,791,networks
,2013,783,networks
,2014,717,networks
,2015,767,networks
,2016,853,networks
,2017,917,networks
,2018,865,networks
,2009,8,convolutional
,2010,9,convolutional
,2011,8,convolutional
,2012,6,convolutional
,2013,15,convolutional
,2014,28,convolutional
,2015,62,convolutional
,2016,117,convolutional
,2017,183,convolutional
,2018,141,convolutional
,2009,1,recurrent
,2010,2,recurrent
,2011,1,recurrent
,2012,3,recurrent
,2013,10,recurrent
,2014,10,recurrent
,2015,35,recurrent
,2016,61,recurrent
,2017,59,recurrent
,2018,46,recurrent
