,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,sum
Networks,273,433,341,413,416,374,426,480,490,439,4085
Learning,77,112,160,209,165,198,328,408,495,679,2831
Analysis,144,227,218,232,219,261,205,218,232,163,2119
Systems,161,188,224,213,246,242,228,218,222,170,2112
Network,120,211,193,205,208,184,174,207,261,277,2040
Data,99,189,160,192,191,180,214,219,236,236,1916
Wireless,127,216,182,178,151,162,137,95,81,81,1410
Model,87,118,136,148,155,138,168,154,148,138,1390
Neural,20,42,26,25,33,61,134,270,372,383,1366
Algorithm,117,203,153,163,158,139,132,98,79,83,1325
Distributed,104,138,148,139,119,137,136,128,123,78,1250
Detection,68,84,76,81,87,141,143,163,187,196,1226
Information,104,127,166,141,140,119,115,120,90,89,1211
Deep,5,3,3,4,21,44,147,251,318,410,1206
System,103,154,119,120,130,130,98,97,83,80,1114
Algorithms,107,121,127,125,141,148,115,92,82,54,1112
Efficient,78,103,125,130,131,107,114,83,93,107,1071
Codes,125,168,135,137,122,84,96,72,61,34,1034
Optimal,80,115,123,119,93,104,91,100,96,79,1000
Image,29,74,45,86,79,93,119,138,171,134,968
Performance,60,123,109,130,109,110,85,95,70,60,951
Control,46,86,77,99,110,91,85,118,113,105,930
Channel,96,157,152,111,87,75,62,76,52,37,905
Design,70,124,84,117,96,101,87,79,71,62,891
Optimization,57,85,80,96,95,81,110,88,83,93,868
Dynamic,69,81,87,108,89,77,86,85,96,88,866
over,80,103,78,111,98,89,84,78,77,38,836
Estimation,42,60,63,84,77,81,82,111,104,116,820
Linear,75,89,99,100,103,95,93,65,59,41,819
Models,40,61,72,78,82,83,104,98,97,103,818
Channels,125,114,135,81,60,72,68,65,35,23,778
Graphs,64,80,97,81,87,83,89,69,70,53,773
Social,24,50,70,90,103,103,83,93,76,66,758
Complexity,98,119,87,86,74,80,62,48,70,33,757
MIMO,77,80,87,58,77,88,94,86,68,36,751
Framework,46,63,69,60,79,81,70,90,78,100,736
Classification,28,43,51,65,62,45,79,110,104,136,723
Recognition,20,50,45,36,63,72,95,108,108,114,711
Online,34,88,54,67,60,69,82,99,80,68,701
Power,50,69,70,70,77,78,81,64,71,57,687
Mobile,45,113,72,79,60,71,62,66,70,46,684
Coding,94,86,103,99,88,54,60,39,27,26,676
Interference,100,121,106,77,75,71,44,46,19,15,674
Modeling,32,62,46,62,55,85,69,85,81,76,653
Computing,71,48,78,64,69,83,59,64,62,55,653
Graph,49,58,60,54,76,62,76,54,64,96,649
networks,61,53,58,73,74,66,68,63,63,65,644
Time,68,75,66,78,67,63,63,45,64,42,631
Energy,31,42,47,64,81,95,83,86,57,42,628
Random,64,80,71,80,62,63,68,51,52,36,627
Applications,62,62,70,62,51,73,62,55,65,63,625
Multiple,55,66,76,75,44,73,58,65,67,44,623
Adaptive,38,55,54,65,73,62,76,74,65,58,620
Towards,40,62,55,46,49,60,63,77,81,79,612
Communication,60,61,63,58,57,67,81,59,63,37,606
Sparse,43,66,54,70,96,55,75,61,45,35,600
Sensor,52,96,57,81,74,65,72,29,43,25,594
Study,27,66,52,53,72,66,58,60,76,60,590
Fast,45,46,36,58,58,57,84,70,63,56,573
Capacity,64,99,99,67,48,48,41,52,24,16,558
Application,46,66,69,68,64,51,50,52,44,41,551
s,66,60,78,51,53,54,57,45,49,36,549
Robust,23,39,61,61,48,51,58,78,69,61,549
an,40,67,62,67,54,52,64,52,48,39,545
Search,48,47,64,67,56,57,52,44,56,54,545
Web,47,76,81,79,65,52,42,26,31,35,534
as,43,50,64,57,54,54,52,54,47,55,530
Logic,47,68,84,66,54,65,40,32,36,33,525
Convolutional,6,9,8,5,14,27,56,110,162,125,522
Machine,14,17,22,26,24,37,62,72,108,130,512
Software,33,65,40,50,86,68,41,48,38,42,511
Evaluation,34,44,44,63,56,55,51,58,48,44,497
Sensing,52,55,58,53,67,48,51,32,45,25,486
Semantic,18,36,45,33,28,36,47,72,80,89,484
Stochastic,27,42,49,47,52,44,56,57,62,46,482
under,33,56,51,41,59,49,41,53,50,44,477
Access,35,50,52,54,50,56,47,65,36,30,475
Programming,46,63,63,53,57,48,44,39,32,30,475
Games,42,62,70,59,48,44,44,48,30,22,469
Gaussian,74,78,57,50,35,42,43,42,31,17,469
Bounds,53,52,60,65,51,45,41,44,37,19,467
Language,28,33,43,30,35,51,51,61,72,61,465
Probabilistic,24,43,56,56,78,52,47,40,41,28,465
Security,40,49,52,40,58,48,48,52,33,44,464
Scheduling,45,65,58,63,45,47,42,30,39,29,463
Cognitive,47,61,62,59,52,52,40,39,31,16,459
Selection,30,45,49,43,47,55,53,49,49,37,457
is,47,60,53,40,48,47,45,38,40,30,448
Clustering,22,49,54,35,60,51,57,47,37,36,448
Theory,58,43,56,43,61,35,49,34,31,35,445
Management,37,62,44,49,38,52,41,51,36,27,437
Prediction,13,25,20,34,32,44,48,60,57,104,437
Bayesian,20,24,22,82,98,36,40,39,41,32,434
Large,39,45,44,50,50,48,53,41,28,31,429
Cloud,16,30,34,48,47,60,58,56,37,39,425
systems,40,54,47,49,42,46,55,41,32,19,425
Hybrid,27,36,42,60,43,39,45,46,45,40,423
Secure,36,64,48,45,35,35,53,28,34,45,423
Segmentation,12,19,14,22,18,23,48,74,90,103,423
algorithm,35,44,48,61,59,48,41,35,36,14,421
through,26,44,44,42,34,32,45,48,43,62,420
Relay,50,66,86,52,43,39,37,22,20,3,418
Parallel,38,49,47,37,52,51,34,31,46,29,414
analysis,42,34,36,44,51,47,41,54,37,24,410
Matrix,33,35,50,39,44,50,51,41,36,28,407
Video,7,18,27,23,34,33,60,56,77,70,405
Allocation,26,32,52,44,38,57,40,48,43,24,404
Approximation,37,44,49,51,46,34,56,33,35,19,404
data,19,48,36,41,48,37,34,41,49,50,403
Joint,25,32,22,31,42,35,55,57,59,43,401
Routing,38,60,60,55,55,39,23,27,22,22,401
3D,13,18,26,23,30,25,39,47,76,83,380
