word,2009_freq,2010_freq,2011_freq,2012_freq,2013_freq,2014_freq,2015_freq,2016_freq,2017_freq,2018_freq
network,526.0,781.0,669.0,791.0,783.0,717.0,767.0,853.0,917.0,1780.0
system,353.0,439.0,434.0,437.0,460.0,473.0,418.0,397.0,386.0,685.0
algorithm,304.0,395.0,356.0,395.0,391.0,375.0,317.0,259.0,215.0,395.0
cod,296.0,337.0,310.0,299.0,275.0,196.0,242.0,168.0,145.0,256.0
channel,264.0,321.0,329.0,215.0,165.0,171.0,156.0,153.0,98.0,163.0
model,245.0,341.0,356.0,390.0,385.0,421.0,446.0,433.0,414.0,818.0
analysis,190.0,263.0,262.0,280.0,274.0,312.0,252.0,277.0,274.0,464.0
graph,185.0,211.0,219.0,211.0,223.0,227.0,223.0,176.0,184.0,444.0
application,149.0,165.0,166.0,170.0,147.0,144.0,152.0,145.0,132.0,250.0
information,140.0,157.0,202.0,169.0,168.0,145.0,148.0,132.0,107.0,208.0
wireless,138.0,230.0,192.0,199.0,167.0,172.0,146.0,103.0,81.0,169.0
complexity,129.0,156.0,125.0,127.0,109.0,108.0,93.0,72.0,87.0,131.0
datum,120.0,240.0,201.0,248.0,244.0,222.0,258.0,268.0,296.0,585.0
distribute,117.0,153.0,160.0,155.0,132.0,150.0,144.0,136.0,130.0,215.0
interference,108.0,127.0,112.0,80.0,79.0,76.0,50.0,46.0,22.0,38.0
linear,106.0,103.0,125.0,126.0,129.0,127.0,116.0,85.0,77.0,138.0
dynamic,104.0,122.0,133.0,140.0,135.0,128.0,116.0,137.0,138.0,259.0
program,101.0,134.0,137.0,99.0,110.0,106.0,92.0,96.0,76.0,145.0
communication,100.0,110.0,101.0,105.0,97.0,115.0,145.0,104.0,118.0,185.0
time,100.0,114.0,104.0,120.0,117.0,114.0,98.0,82.0,99.0,175.0
bound,98.0,108.0,101.0,104.0,92.0,85.0,83.0,73.0,63.0,110.0
random,98.0,120.0,106.0,107.0,83.0,92.0,86.0,72.0,65.0,109.0
design,96.0,158.0,118.0,152.0,133.0,137.0,118.0,103.0,91.0,181.0
efficient,95.0,114.0,145.0,159.0,155.0,122.0,134.0,95.0,118.0,233.0
learn,94.0,134.0,188.0,240.0,206.0,235.0,386.0,494.0,598.0,1396.0
process,93.0,100.0,91.0,130.0,119.0,111.0,85.0,107.0,104.0,188.0
optimal,93.0,137.0,129.0,129.0,106.0,119.0,105.0,115.0,111.0,197.0
quantum,92.0,50.0,56.0,30.0,31.0,38.0,31.0,21.0,20.0,46.0
theory,91.0,68.0,78.0,66.0,92.0,57.0,62.0,49.0,39.0,89.0
constraint,90.0,88.0,95.0,74.0,66.0,65.0,74.0,47.0,63.0,102.0
game,90.0,123.0,129.0,114.0,86.0,83.0,95.0,102.0,78.0,134.0
set,89.0,90.0,117.0,87.0,99.0,84.0,80.0,70.0,58.0,113.0
compute,88.0,74.0,99.0,100.0,86.0,104.0,82.0,84.0,85.0,160.0
detection,86.0,95.0,90.0,99.0,116.0,166.0,174.0,195.0,211.0,429.0
capacity,84.0,113.0,106.0,75.0,54.0,52.0,43.0,59.0,28.0,47.0
function,84.0,105.0,97.0,92.0,103.0,72.0,77.0,70.0,64.0,107.0
search,84.0,64.0,92.0,93.0,83.0,79.0,72.0,65.0,69.0,135.0
performance,81.0,142.0,123.0,156.0,125.0,134.0,96.0,109.0,83.0,152.0
structure,79.0,91.0,103.0,89.0,96.0,85.0,96.0,90.0,87.0,158.0
language,78.0,75.0,89.0,68.0,87.0,91.0,84.0,91.0,98.0,188.0
optimization,77.0,98.0,102.0,113.0,113.0,107.0,135.0,113.0,100.0,206.0
control,76.0,106.0,105.0,131.0,146.0,136.0,118.0,145.0,139.0,276.0
power,74.0,88.0,84.0,83.0,92.0,107.0,94.0,85.0,89.0,160.0
protocol,70.0,119.0,92.0,99.0,69.0,65.0,38.0,23.0,25.0,58.0
tree,69.0,84.0,54.0,74.0,65.0,79.0,85.0,67.0,58.0,103.0
matrix,69.0,74.0,83.0,84.0,83.0,89.0,98.0,83.0,64.0,103.0
logic,69.0,87.0,113.0,82.0,71.0,82.0,48.0,50.0,46.0,82.0
fast,68.0,75.0,54.0,93.0,80.0,91.0,111.0,92.0,88.0,157.0
relay,67.0,93.0,111.0,89.0,71.0,66.0,59.0,37.0,34.0,42.0
image,67.0,130.0,95.0,152.0,126.0,157.0,205.0,257.0,299.0,542.0
sense,66.0,66.0,69.0,68.0,95.0,68.0,69.0,43.0,59.0,100.0
multiple,63.0,78.0,83.0,82.0,49.0,84.0,67.0,75.0,76.0,126.0
framework,62.0,79.0,90.0,83.0,103.0,101.0,89.0,120.0,94.0,216.0
sensor,62.0,108.0,70.0,101.0,101.0,90.0,90.0,46.0,57.0,92.0
